FL039,Dhaka,Tokyo,2024-12-23,18:45,180,130000.0
FL040,Dhaka,Sydney,2024-12-23,22:15,150,140000.0
FL041,Dhaka,New York,2024-12-24,10:00,300,120000.0
FL042,Dhaka,London,2024-12-24,14:00,250,90000.0
FL043,Dhaka,Paris,2024-12-24,16:30,200,85000.0
FL044,Dhaka,Tokyo,2024-12-24,18:45,180,130000.0
FL045,Dhaka,Sydney,2024-12-24,22:15,150,140000.0
FL046,Dhaka,New York,2024-12-25,10:00,300,120000.0
FL047,Dhaka,London,2024-12-25,14:00,250,90000.0
FL048,Dhaka,Paris,2024-12-25,16:30,200,85000.0
FL049,Dhaka,Tokyo,2024-12-25,18:45,180,130000.0
FL050,Dhaka,Sydney,2024-12-25,22:15,150,140000.0
FL051,Dhaka,New York,2024-12-26,10:00,300,120000.0
FL052,Dhaka,London,2024-12-26,14:00,250,90000.0
FL053,Dhaka,Paris,2024-12-26,16:30,200,85000.0
FL054,Dhaka,Tokyo,2024-12-26,18:45,180,130000.0
FL055,Dhaka,Sydney,2024-12-26,22:15,150,140000.0
FL056,Dhaka,New York,2024-12-27,10:00,300,120000.0
FL057,Dhaka,London,2024-12-27,14:00,250,90000.0
FL058,Dhaka,Paris,2024-12-27,16:30,200,85000.0
FL059,Dhaka,Tokyo,2024-12-27,18:45,180,130000.0
FL060,Dhaka,Sydney,2024-12-27,22:15,150,140000.0
FL061,Dhaka,New York,2024-12-28,10:00,300,120000.0
FL062,Dhaka,London,2024-12-28,14:00,250,90000.0
FL063,Dhaka,Paris,2024-12-28,16:30,200,85000.0
FL064,Dhaka,Tokyo,2024-12-28,18:45,180,130000.0
FL065,Dhaka,Sydney,2024-12-28,22:15,150,140000.0
FL066,Dhaka,New York,2024-12-29,10:00,300,120000.0
FL067,Dhaka,London,2024-12-29,14:00,250,90000.0
FL068,Dhaka,Paris,2024-12-29,16:30,200,85000.0
FL069,Dhaka,Tokyo,2024-12-29,18:45,180,130000.0
FL070,Dhaka,Sydney,2024-12-29,22:15,150,140000.0
FL071,Dhaka,New York,2024-12-30,10:00,300,120000.0
FL072,Dhaka,London,2024-12-30,14:00,250,90000.0
FL073,Dhaka,Paris,2024-12-30,16:30,200,85000.0
FL074,Dhaka,Tokyo,2024-12-30,18:45,180,130000.0
FL075,Dhaka,Sydney,2024-12-30,22:15,150,140000.0
FL076,Dhaka,New York,2024-12-31,10:00,300,120000.0
FL077,Dhaka,London,2024-12-31,14:00,250,90000.0
FL078,Dhaka,Paris,2024-12-31,16:30,200,85000.0
FL079,Dhaka,Tokyo,2024-12-31,18:45,180,130000.0
FL080,Dhaka,Sydney,2024-12-31,22:15,150,140000.0
FL081,Dhaka,New York,2025-01-01,10:00,300,120000.0
FL082,Dhaka,London,2025-01-01,14:00,250,90000.0
FL083,Dhaka,Paris,2025-01-01,16:30,200,85000.0
FL084,Dhaka,Tokyo,2025-01-01,18:45,180,130000.0
FL085,Dhaka,Sydney,2025-01-01,22:15,150,140000.0
FL086,Dhaka,New York,2025-01-02,10:00,300,120000.0
FL087,Dhaka,London,2025-01-02,14:00,250,90000.0
FL088,Dhaka,Paris,2025-01-02,16:30,200,85000.0
FL089,Dhaka,Tokyo,2025-01-02,18:45,180,130000.0
FL090,Dhaka,Sydney,2025-01-02,22:15,150,140000.0
FL091,Dhaka,New York,2025-01-03,10:00,300,120000.0
FL092,Dhaka,London,2025-01-03,14:00,250,90000.0
FL093,Dhaka,Paris,2025-01-03,16:30,200,85000.0
FL094,Dhaka,Tokyo,2025-01-03,18:45,180,130000.0
FL095,Dhaka,Sydney,2025-01-03,22:15,150,140000.0
FL096,Dhaka,New York,2025-01-04,10:00,300,120000.0
FL097,Dhaka,London,2025-01-04,14:00,250,90000.0
FL098,Dhaka,Paris,2025-01-04,16:30,200,85000.0
FL099,Dhaka,Tokyo,2025-01-04,18:45,180,130000.0
FL100,Dhaka,Sydney,2025-01-04,22:15,150,140000.0
FL101,Dhaka,New York,2025-01-05,10:00,300,120000.0
FL102,Dhaka,London,2025-01-05,14:00,250,90000.0
FL103,Dhaka,Paris,2025-01-05,16:30,200,85000.0
FL104,Dhaka,Tokyo,2025-01-05,18:45,180,130000.0
FL105,Dhaka,Sydney,2025-01-05,22:15,150,140000.0
FL106,Dhaka,New York,2025-01-06,10:00,300,120000.0
FL107,Dhaka,London,2025-01-06,14:00,250,90000.0
FL108,Dhaka,Paris,2025-01-06,16:30,200,85000.0
FL109,Dhaka,Tokyo,2025-01-06,18:45,180,130000.0
FL110,Dhaka,Sydney,2025-01-06,22:15,150,140000.0
FL111,Dhaka,New York,2025-01-07,10:00,300,120000.0
FL112,Dhaka,London,2025-01-07,14:00,250,90000.0
FL113,Dhaka,Paris,2025-01-07,16:30,200,85000.0
FL114,Dhaka,Tokyo,2025-01-07,18:45,180,130000.0
FL115,Dhaka,Sydney,2025-01-07,22:15,150,140000.0
FL116,Dhaka,New York,2025-01-08,10:00,300,120000.0
FL117,Dhaka,London,2025-01-08,14:00,250,90000.0
FL118,Dhaka,Paris,2025-01-08,16:30,200,85000.0
FL119,Dhaka,Tokyo,2025-01-08,18:45,180,130000.0
FL120,Dhaka,Sydney,2025-01-08,22:15,150,140000.0
FL121,Dhaka,New York,2025-01-09,10:00,300,120000.0
FL122,Dhaka,London,2025-01-09,14:00,250,90000.0
FL123,Dhaka,Paris,2025-01-09,16:30,200,85000.0
FL124,Dhaka,Tokyo,2025-01-09,18:45,180,130000.0
FL125,Dhaka,Sydney,2025-01-09,22:15,150,140000.0
FL126,Dhaka,New York,2025-01-10,10:00,300,120000.0
FL127,Dhaka,London,2025-01-10,14:00,250,90000.0
FL128,Dhaka,Paris,2025-01-10,16:30,200,85000.0
FL129,Dhaka,Tokyo,2025-01-10,18:45,180,130000.0
FL130,Dhaka,Sydney,2025-01-10,22:15,150,140000.0
FL131,Dhaka,New York,2025-01-11,10:00,300,120000.0
FL132,Dhaka,London,2025-01-11,14:00,250,90000.0
FL133,Dhaka,Paris,2025-01-11,16:30,200,85000.0
FL134,Dhaka,Tokyo,2025-01-11,18:45,180,130000.0
FL135,Dhaka,Sydney,2025-01-11,22:15,150,140000.0
FL136,Dhaka,New York,2025-01-12,10:00,300,120000.0
FL137,Dhaka,London,2025-01-12,14:00,250,90000.0
FL138,Dhaka,Paris,2025-01-12,16:30,200,85000.0
FL139,Dhaka,Tokyo,2025-01-12,18:45,180,130000.0
FL140,Dhaka,Sydney,2025-01-12,22:15,150,140000.0
FL141,Dhaka,New York,2025-01-13,10:00,300,120000.0
FL142,Dhaka,London,2025-01-13,14:00,250,90000.0
FL143,Dhaka,Paris,2025-01-13,16:30,200,85000.0
FL144,Dhaka,Tokyo,2025-01-13,18:45,180,130000.0
FL145,Dhaka,Sydney,2025-01-13,22:15,150,140000.0
FL146,Dhaka,New York,2025-01-14,10:00,300,120000.0
FL147,Dhaka,London,2025-01-14,14:00,250,90000.0
FL148,Dhaka,Paris,2025-01-14,16:30,200,85000.0
FL149,Dhaka,Tokyo,2025-01-14,18:45,180,130000.0
FL150,Dhaka,Sydney,2025-01-14,22:15,150,140000.0
FL151,Dhaka,New York,2025-01-15,10:00,300,120000.0
FL152,Dhaka,London,2025-01-15,14:00,250,90000.0
FL153,Dhaka,Paris,2025-01-15,16:30,200,85000.0
FL154,Dhaka,Tokyo,2025-01-15,18:45,180,130000.0
FL155,Dhaka,Sydney,2025-01-15,22:15,150,140000.0
FL156,Dhaka,New York,2025-01-16,10:00,300,120000.0
FL157,Dhaka,London,2025-01-16,14:00,250,90000.0
FL158,Dhaka,Paris,2025-01-16,16:30,200,85000.0
FL159,Dhaka,Tokyo,2025-01-16,18:45,180,130000.0
FL160,Dhaka,Sydney,2025-01-16,22:15,150,140000.0
